isref,arrrefs,itemrefs,numcloneditems,ns
false,255,1,0,2636
false,511,1,0,4794
false,767,1,0,6810
false,1023,1,0,9547
false,1279,1,0,11593
false,1535,1,0,13990
false,1791,1,0,15896
false,2047,1,0,17908
false,1,254,0,2171
false,1,510,0,4037
false,1,766,0,6072
false,1,1022,0,7990
false,1,1278,0,10003
false,1,1534,0,11981
false,1,1790,0,13952
false,1,2046,0,16004
false,1,1,254,1608
false,1,1,510,3150
false,1,1,766,4502
false,1,1,1022,6079
false,1,1,1278,7395
false,1,1,1534,9111
false,1,1,1790,10268
false,1,1,2046,11776
true,1,254,0,3894
true,1,510,0,7701
true,1,766,0,11314
true,1,1022,0,14904
true,1,1278,0,18779
true,1,1534,0,22676
true,1,1790,0,26640
true,1,2046,0,30597
