opcode,elemtype,refcount,numitems,numiters,ns
CLEARITEMS,Array,256,1,100000,1767
CLEARITEMS,Array,512,1,100000,3195
CLEARITEMS,Array,768,1,100000,4970
CLEARITEMS,Array,1024,1,100000,6041
CLEARITEMS,Array,1280,1,100000,7177
CLEARITEMS,Array,1536,1,100000,8649
CLEARITEMS,Array,1792,1,100000,10026
CLEARITEMS,Array,2048,1,100000,11192
CLEARITEMS,Array,256,255,100000,2219
CLEARITEMS,Array,512,511,100000,4123
CLEARITEMS,Array,768,767,100000,5880
CLEARITEMS,Array,1024,1023,100000,7773
CLEARITEMS,Array,1280,1279,100000,9714
CLEARITEMS,Array,1536,1535,100000,11645
CLEARITEMS,Array,1792,1791,100000,13399
CLEARITEMS,Array,2048,2047,100000,15286
CLEARITEMS,Map,256,2,100000,1824
CLEARITEMS,Map,512,2,100000,3195
CLEARITEMS,Map,768,2,100000,4970
CLEARITEMS,Map,1024,2,100000,6041
CLEARITEMS,Map,1280,2,100000,7177
CLEARITEMS,Map,1536,2,100000,8649
CLEARITEMS,Map,1792,2,100000,10026
CLEARITEMS,Map,2048,2,100000,11192
CLEARITEMS,Map,255,254,100000,2219
CLEARITEMS,Map,511,510,100000,4123
CLEARITEMS,Map,767,766,100000,5880
CLEARITEMS,Map,1023,1022,100000,7773
CLEARITEMS,Map,1279,1278,100000,9714
CLEARITEMS,Map,1535,1534,100000,11645
CLEARITEMS,Map,1791,1790,100000,13399
CLEARITEMS,Map,2047,2046,100000,15286
