type,size,ns
Array,255,78.75308641975309
Array,511,155.76543209876544
Array,767,226.5185185185185
Array,1023,305.2962962962963
Array,1279,372.74074074074076
Array,1535,455.17283950617286
Array,1791,523.716049382716
Array,2047,604.8765432098766
ByteString,16383,100.60493827160494
ByteString,32766,183.65432098765433
ByteString,49149,270.85185185185185
ByteString,65532,336.5679012345679
ByteString,81915,416.65432098765433
ByteString,98298,496.4074074074074
ByteString,114681,565.925925925926
ByteString,131064,625.320987654321
