opcode,elemsize,keytype,numiters,ns
KEYS,127,Integer,100000,10906
KEYS,255,Integer,100000,20404
KEYS,383,Integer,100000,58052
KEYS,511,Integer,100000,88189
KEYS,639,Integer,100000,104313
KEYS,767,Integer,100000,117198
KEYS,895,Integer,100000,129767
KEYS,1023,Integer,100000,141325
KEYS,127,ByteString,100000,18392
KEYS,255,ByteString,100000,24500
KEYS,383,ByteString,100000,82370
KEYS,511,ByteString,100000,105308
KEYS,639,ByteString,100000,127059
KEYS,767,ByteString,100000,134414
KEYS,895,ByteString,100000,151085
KEYS,1023,ByteString,100000,169122
