arraytype,size,ns
Any,255,54.2962962962963
Any,511,103.96296296296296
Any,767,152.7037037037037
Any,1023,205.25925925925927
Any,1279,244.2469135802469
Any,1535,299.58024691358025
Any,1791,343.91358024691357
Any,2047,396.04938271604937
ByteString,255,232.5185185185185
ByteString,511,459.2098765432099
ByteString,767,672.8395061728395
ByteString,1023,949.0123456790124
ByteString,1279,1152.8395061728395
ByteString,1535,1392.8395061728395
ByteString,1791,1599.0740740740741
ByteString,2047,1826.2716049382716
