opcode,arrrefs,itemnumber,itemtype,itemrefs,bytearraylen,ns
PICKITEM,1,1,ByteString,1,16383,7431
PICKITEM,1,1,ByteString,1,32766,16002
PICKITEM,1,1,ByteString,1,49149,23850
PICKITEM,1,1,ByteString,1,65532,33011
PICKITEM,1,1,ByteString,1,81915,42590
PICKITEM,1,1,ByteString,1,98298,47345
PICKITEM,1,1,ByteString,1,114681,54920
PICKITEM,1,1,ByteString,1,131064,60047
PICKITEM,253,1,Any,1,0,1921
PICKITEM,509,1,Any,1,0,3388
PICKITEM,765,1,Any,1,0,4863
PICKITEM,1021,1,Any,1,0,6337
PICKITEM,1277,1,Any,1,0,7823
PICKITEM,1533,1,Any,1,0,9076
PICKITEM,1789,1,Any,1,0,10533
PICKITEM,2045,1,Any,1,0,11933
PICKITEM,255,1,Any,253,0,3518
PICKITEM,511,1,Any,509,0,6614
PICKITEM,767,1,Any,765,0,9844
PICKITEM,1023,1,Any,1021,0,13053
PICKITEM,1279,1,Any,1277,0,16185
PICKITEM,1535,1,Any,1533,0,19388
PICKITEM,1791,1,Any,1789,0,22926
PICKITEM,2047,1,Any,2045,0,26084
PICKITEM,1,126,Any,1,0,2564
PICKITEM,1,254,Any,1,0,5048
PICKITEM,1,382,Any,1,0,7293
PICKITEM,1,510,Any,1,0,9213
PICKITEM,1,638,Any,1,0,12120
PICKITEM,1,766,Any,1,0,14724
PICKITEM,1,894,Any,1,0,16601
PICKITEM,1,1022,Any,1,0,19251
