opcode,arrrefs,itemrefs,itemnumber,ns
REMOVE,255,1,0,2116
REMOVE,511,1,0,4070
REMOVE,767,1,0,5991
REMOVE,1023,1,0,7824
REMOVE,1279,1,0,9835
REMOVE,1535,1,0,11787
REMOVE,1791,1,0,13749
REMOVE,2047,1,0,15903
REMOVE,1,253,0,2060
REMOVE,1,509,0,3959
REMOVE,1,765,0,5784
REMOVE,1,1021,0,7697
REMOVE,1,1277,0,9489
REMOVE,1,1533,0,11469
REMOVE,1,1789,0,13411
REMOVE,1,2045,0,15411
REMOVE,1,2,126,2571
REMOVE,1,2,254,4950
REMOVE,1,2,382,7343
REMOVE,1,2,510,9310
REMOVE,1,2,638,11973
REMOVE,1,2,766,14297
REMOVE,1,2,894,16626
REMOVE,1,2,1022,19230
