opcode,elemtype,elemsize,ns
REVERSEITEMS,Array,256,2379
REVERSEITEMS,Buffer,16383,107865
REVERSEITEMS,Array,512,4224
REVERSEITEMS,Buffer,32766,203691
REVERSEITEMS,Array,768,6121
REVERSEITEMS,Buffer,49149,296999
REVERSEITEMS,Array,1024,8149
REVERSEITEMS,Buffer,65532,417948
REVERSEITEMS,Array,1280,9529
REVERSEITEMS,Buffer,81915,460539
REVERSEITEMS,Array,1536,11994
REVERSEITEMS,Buffer,98298,551802
REVERSEITEMS,Array,1792,14047
REVERSEITEMS,Buffer,114681,629441
REVERSEITEMS,Array,2048,16929
REVERSEITEMS,Buffer,131064,771208
