refs,numcloneditems,itemnumber,ns
2,0,126,54.799888
2,0,254,107.161702
2,0,382,158.204915
2,0,510,207.873442
2,0,638,257.486331
2,0,766,313.647181
2,0,894,367.535465
2,0,1022,425.049543
2,252,0,97.602055
2,508,0,192.728541
2,764,0,280.395887
2,1020,0,377.221670
2,1276,0,457.947756
2,1532,0,556.960966
2,1788,0,638.948088
2,2044,0,738.684936
254,0,0,29.557834
510,0,0,57.118790
766,0,0,82.520463
1022,0,0,108.547936
1278,0,0,133.773639
1534,0,0,161.568550
1790,0,0,186.884026
2046,0,0,213.595187
