opcode,arrtype,refs,size,ns
UNPACK,Array,256,1,3498
UNPACK,Array,512,1,6607
UNPACK,Array,768,1,9683
UNPACK,Array,1024,1,13103
UNPACK,Array,1280,1,15917
UNPACK,Array,1536,1,18876
UNPACK,Array,1792,1,21902
UNPACK,Array,2048,1,25298
UNPACK,Array,256,255,5308
UNPACK,Array,512,511,10461
UNPACK,Array,768,767,15378
UNPACK,Array,1024,1023,21048
UNPACK,Array,1280,1279,25709
UNPACK,Array,1536,1535,29228
UNPACK,Array,1792,1791,35233
UNPACK,Array,2048,2047,40238
UNPACK,Map,256,1,3532
UNPACK,Map,512,1,6748
UNPACK,Map,768,1,9985
UNPACK,Map,1024,1,13208
UNPACK,Map,1280,1,16388
UNPACK,Map,1536,1,19232
UNPACK,Map,1792,1,22808
UNPACK,Map,2048,1,26093
UNPACK,Map,255,127,4461
UNPACK,Map,511,255,8210
UNPACK,Map,767,383,12636
UNPACK,Map,1023,511,16486
UNPACK,Map,1279,639,20922
UNPACK,Map,1535,767,23975
UNPACK,Map,1791,895,28121
UNPACK,Map,2047,1023,32012
