opcode,arrrefs,valuesrefs,numcloneditems,ns
VALUES,255,255,0,3582
VALUES,511,511,0,6759
VALUES,767,767,0,9862
VALUES,1023,1023,0,13136
VALUES,1279,1279,0,15962
VALUES,1535,1535,0,19115
VALUES,1791,1791,0,22305
VALUES,2047,2047,0,25610
VALUES,1,128,0,2829
VALUES,1,256,0,5507
VALUES,1,384,0,8006
VALUES,1,512,0,10521
VALUES,1,640,0,13040
VALUES,1,768,0,15751
VALUES,1,896,0,17988
VALUES,1,1024,0,21028
VALUES,1,127,125,2837
VALUES,1,255,253,5313
VALUES,1,383,381,7680
VALUES,1,511,509,10348
VALUES,1,639,637,12503
VALUES,1,767,765,14837
VALUES,1,895,893,17052
VALUES,1,1023,1021,19906
